Time,Open,Close,High,Low,Volume
2025-05-16 18:15:00,2.854,2.851,2.8611,2.8464,9405.0
2025-05-16 18:20:00,2.851,2.8452,2.8559,2.8435,10231.0
2025-05-16 18:25:00,2.8458,2.8449,2.8535,2.8414,6286.0
2025-05-16 18:30:00,2.8441,2.8581,2.8598,2.8399,6754.0
2025-05-16 18:35:00,2.8567,2.8559,2.8589,2.8532,7823.0
2025-05-16 18:40:00,2.8551,2.8447,2.8569,2.8443,7005.0
2025-05-16 18:45:00,2.8447,2.8439,2.8489,2.8386,6503.0
2025-05-16 18:50:00,2.8439,2.8506,2.851,2.84,6865.0
2025-05-16 18:55:00,2.8506,2.8491,2.8534,2.8432,5990.0
2025-05-16 19:00:00,2.8485,2.8505,2.8609,2.8442,6099.0
2025-05-16 19:05:00,2.8505,2.849,2.8591,2.8445,8097.0
2025-05-16 19:10:00,2.85,2.8431,2.8567,2.8414,6122.0
2025-05-16 19:15:00,2.8448,2.837,2.846,2.835,6999.0
2025-05-16 19:20:00,2.837,2.8459,2.8459,2.8353,6976.0
2025-05-16 19:25:00,2.846,2.8526,2.8582,2.846,7838.0
2025-05-16 19:30:00,2.8526,2.8596,2.8608,2.852,6330.0
2025-05-16 19:35:00,2.8596,2.8563,2.8617,2.8538,6727.0
2025-05-16 19:40:00,2.857,2.8477,2.8571,2.8473,6727.0
2025-05-16 19:45:00,2.8473,2.8403,2.853,2.8403,6810.0
2025-05-16 19:50:00,2.8419,2.849,2.8494,2.8401,7586.0
2025-05-16 19:55:00,2.8504,2.8579,2.8597,2.85,9019.0
2025-05-16 20:00:00,2.8572,2.8439,2.8578,2.8439,7133.0
2025-05-16 20:05:00,2.8439,2.8487,2.8569,2.8433,6704.0
2025-05-16 20:10:00,2.8483,2.8447,2.8524,2.8442,6852.0
2025-05-16 20:15:00,2.8443,2.8355,2.8468,2.8341,8172.0
2025-05-16 20:20:00,2.8355,2.8365,2.8375,2.8311,8614.0
2025-05-16 20:25:00,2.8358,2.8335,2.8377,2.8329,6288.0
2025-05-16 20:30:00,2.8335,2.8119,2.8335,2.8096,25335.0
2025-05-16 20:35:00,2.8131,2.8155,2.8178,2.8105,25331.0
2025-05-16 20:40:00,2.8155,2.8078,2.8155,2.807,15803.0
2025-05-16 20:45:00,2.8078,2.8091,2.8111,2.8033,17697.0
2025-05-16 20:50:00,2.8085,2.808,2.8128,2.8062,25932.0
2025-05-16 20:55:00,2.808,2.8201,2.8235,2.8033,7072.0
2025-05-16 21:00:00,2.8196,2.8214,2.8216,2.8136,14723.0
2025-05-16 21:05:00,2.8215,2.8247,2.8264,2.8198,9364.0
2025-05-16 21:10:00,2.8243,2.8369,2.8369,2.8243,7145.0
2025-05-16 21:15:00,2.8368,2.8278,2.8378,2.8272,14941.0
2025-05-16 21:20:00,2.8272,2.8357,2.8368,2.8272,5922.0
2025-05-16 21:25:00,2.8333,2.8228,2.8348,2.8222,8809.0
2025-05-16 21:30:00,2.8222,2.8339,2.8339,2.8073,10922.0
2025-05-16 21:35:00,2.8339,2.8304,2.839,2.8195,6037.0
2025-05-16 21:40:00,2.8299,2.8311,2.8368,2.8281,6911.0
2025-05-16 21:45:00,2.8319,2.8319,2.834,2.8267,9234.0
2025-05-16 21:50:00,2.8319,2.8154,2.8338,2.8143,6209.0
2025-05-16 21:55:00,2.8149,2.814,2.8208,2.8116,8187.0
2025-05-16 22:00:00,2.814,2.8043,2.8168,2.803,11576.0
2025-05-16 22:05:00,2.8043,2.8004,2.8057,2.796,62697.0
2025-05-16 22:10:00,2.799,2.795,2.7994,2.79,12719.0
2025-05-16 22:15:00,2.795,2.8002,2.8027,2.793,8627.0
2025-05-16 22:20:00,2.7995,2.8068,2.8095,2.7936,6546.0
2025-05-16 22:25:00,2.8062,2.7929,2.8075,2.7921,10062.0
2025-05-16 22:30:00,2.7929,2.7922,2.7996,2.7921,9036.0
2025-05-16 22:35:00,2.7922,2.7959,2.7965,2.7916,11318.0
2025-05-16 22:40:00,2.7959,2.7861,2.7959,2.7835,12777.0
2025-05-16 22:45:00,2.7856,2.7767,2.7905,2.775,26256.0
2025-05-16 22:50:00,2.7767,2.7791,2.7946,2.7663,18639.0
2025-05-16 22:55:00,2.7791,2.7881,2.7889,2.7755,6355.0
2025-05-16 23:00:00,2.7881,2.8009,2.801,2.7881,8945.0
2025-05-16 23:05:00,2.8009,2.8076,2.8076,2.7976,7899.0
2025-05-16 23:10:00,2.8076,2.8093,2.8094,2.8018,6630.0
2025-05-16 23:15:00,2.8093,2.8024,2.8112,2.7987,10246.0
2025-05-16 23:20:00,2.8034,2.808,2.8084,2.8019,8031.0
2025-05-16 23:25:00,2.807,2.8125,2.8155,2.8066,7141.0
2025-05-16 23:30:00,2.8131,2.8104,2.8167,2.807,6983.0
2025-05-16 23:35:00,2.8104,2.8155,2.8155,2.8085,6085.0
2025-05-16 23:40:00,2.8148,2.8069,2.8159,2.8059,6749.0
2025-05-16 23:45:00,2.8074,2.7993,2.8074,2.7971,5780.0
2025-05-16 23:50:00,2.7993,2.8007,2.8024,2.7972,6201.0
2025-05-16 23:55:00,2.8007,2.7939,2.8016,2.7936,6156.0
2025-05-17 00:00:00,2.7935,2.7926,2.7973,2.791,7184.0
2025-05-17 00:05:00,2.7927,2.7982,2.8052,2.7872,7709.0
2025-05-17 00:10:00,2.7982,2.7986,2.8002,2.7875,6642.0
2025-05-17 00:15:00,2.7986,2.7721,2.7991,2.7711,9104.0
2025-05-17 00:20:00,2.7729,2.7749,2.7778,2.7701,10293.0
2025-05-17 00:25:00,2.7741,2.7679,2.7749,2.7654,25516.0
2025-05-17 00:30:00,2.7679,2.771,2.7794,2.7653,9121.0
2025-05-17 00:35:00,2.7706,2.7566,2.7727,2.7436,47086.0
2025-05-17 00:40:00,2.7566,2.7601,2.7606,2.7486,10771.0
2025-05-17 00:45:00,2.7592,2.7625,2.7662,2.7525,8619.0
2025-05-17 00:50:00,2.7625,2.7686,2.7701,2.754,7602.0
2025-05-17 00:55:00,2.7691,2.7605,2.7701,2.7563,7920.0
2025-05-17 01:00:00,2.7604,2.7533,2.7612,2.7466,8651.0
2025-05-17 01:05:00,2.7524,2.7555,2.756,2.7431,13967.0
2025-05-17 01:10:00,2.7559,2.7391,2.7573,2.7391,14769.0
2025-05-17 01:15:00,2.7391,2.7351,2.7484,2.7346,20107.0
