Time,Open,Close,High,Low,Volume
2025-05-17 00:00:00,2.7935,2.7926,2.7973,2.791,7184.0
2025-05-17 00:05:00,2.7927,2.7982,2.8052,2.7872,7709.0
2025-05-17 00:10:00,2.7982,2.7986,2.8002,2.7875,6642.0
2025-05-17 00:15:00,2.7986,2.7721,2.7991,2.7711,9104.0
2025-05-17 00:20:00,2.7729,2.7749,2.7778,2.7701,10293.0
2025-05-17 00:25:00,2.7741,2.7679,2.7749,2.7654,25516.0
2025-05-17 00:30:00,2.7679,2.771,2.7794,2.7653,9121.0
2025-05-17 00:35:00,2.7706,2.7566,2.7727,2.7436,47086.0
2025-05-17 00:40:00,2.7566,2.7601,2.7606,2.7486,10771.0
2025-05-17 00:45:00,2.7592,2.7625,2.7662,2.7525,8619.0
2025-05-17 00:50:00,2.7625,2.7686,2.7701,2.754,7602.0
2025-05-17 00:55:00,2.7691,2.7605,2.7701,2.7563,7920.0
2025-05-17 01:00:00,2.7604,2.7533,2.7612,2.7466,8651.0
2025-05-17 01:05:00,2.7524,2.7555,2.756,2.7431,13967.0
2025-05-17 01:10:00,2.7559,2.7391,2.7573,2.7391,14769.0
2025-05-17 01:15:00,2.7391,2.7351,2.7484,2.7346,20107.0
2025-05-17 01:20:00,2.7359,2.7377,2.7384,2.7294,25899.0
2025-05-17 01:25:00,2.736,2.7475,2.7475,2.7321,6325.0
2025-05-17 01:30:00,2.7469,2.7272,2.7482,2.7252,10978.0
2025-05-17 01:35:00,2.7282,2.7311,2.7382,2.7238,17076.0
2025-05-17 01:40:00,2.7311,2.7353,2.7361,2.7245,7899.0
2025-05-17 01:45:00,2.7337,2.7143,2.7346,2.7051,20028.0
2025-05-17 01:50:00,2.7143,2.7281,2.7281,2.7087,7242.0
2025-05-17 01:55:00,2.7281,2.732,2.7409,2.7215,7298.0
2025-05-17 02:00:00,2.7333,2.7236,2.7364,2.7201,10874.0
2025-05-17 02:05:00,2.7227,2.7141,2.7237,2.7101,11662.0
2025-05-17 02:10:00,2.7141,2.7015,2.7164,2.7013,10749.0
2025-05-17 02:15:00,2.7015,2.712,2.7184,2.7015,6318.0
2025-05-17 02:20:00,2.7124,2.7245,2.7252,2.711,8103.0
2025-05-17 02:25:00,2.7238,2.7374,2.7384,2.7232,7516.0
2025-05-17 02:30:00,2.7374,2.743,2.7448,2.7349,10988.0
2025-05-17 02:35:00,2.743,2.7412,2.7456,2.7357,7746.0
2025-05-17 02:40:00,2.7405,2.7466,2.7474,2.7403,10649.0
2025-05-17 02:45:00,2.7474,2.7398,2.7509,2.7389,9326.0
2025-05-17 02:50:00,2.7399,2.7344,2.7405,2.7336,7211.0
2025-05-17 02:55:00,2.7353,2.7375,2.7392,2.7312,8744.0
2025-05-17 03:00:00,2.7382,2.7408,2.7435,2.7369,6740.0
2025-05-17 03:05:00,2.7408,2.7297,2.7415,2.729,6356.0
2025-05-17 03:10:00,2.7297,2.7227,2.7297,2.72,6699.0
2025-05-17 03:15:00,2.7228,2.7121,2.7228,2.7101,7331.0
2025-05-17 03:20:00,2.7124,2.7136,2.7164,2.705,11370.0
2025-05-17 03:25:00,2.7136,2.731,2.731,2.7127,7216.0
2025-05-17 03:30:00,2.7308,2.7327,2.7349,2.7279,8524.0
2025-05-17 03:35:00,2.7327,2.7406,2.7406,2.7297,6118.0
2025-05-17 03:40:00,2.7406,2.7469,2.7498,2.7386,8743.0
2025-05-17 03:45:00,2.7469,2.7439,2.7514,2.7431,10759.0
2025-05-17 03:50:00,2.7439,2.7568,2.7569,2.7431,7389.0
2025-05-17 03:55:00,2.7569,2.7621,2.7629,2.7548,9107.0
2025-05-17 04:00:00,2.7621,2.7628,2.7679,2.7582,6408.0
2025-05-17 04:05:00,2.7622,2.7591,2.7679,2.7582,9233.0
2025-05-17 04:10:00,2.7591,2.7613,2.7637,2.7586,6774.0
2025-05-17 04:15:00,2.7624,2.7682,2.771,2.7596,12574.0
2025-05-17 04:20:00,2.7688,2.7759,2.777,2.7675,6511.0
2025-05-17 04:25:00,2.7764,2.7798,2.7818,2.7759,6688.0
2025-05-17 04:30:00,2.7798,2.7838,2.7884,2.7771,7596.0
2025-05-17 04:35:00,2.7838,2.7897,2.7901,2.7821,6344.0
2025-05-17 04:40:00,2.7897,2.7961,2.7974,2.7887,12895.0
2025-05-17 04:45:00,2.7938,2.7909,2.7946,2.7878,8656.0
2025-05-17 04:50:00,2.7901,2.7858,2.7941,2.7837,8979.0
2025-05-17 04:55:00,2.7858,2.7934,2.7935,2.7847,13530.0
2025-05-17 05:00:00,2.7919,2.7939,2.7972,2.7903,12614.0
2025-05-17 05:05:00,2.7938,2.7861,2.7955,2.7861,6487.0
2025-05-17 05:10:00,2.7861,2.7817,2.7887,2.7816,7668.0
2025-05-17 05:15:00,2.7817,2.7742,2.7865,2.7729,9765.0
2025-05-17 05:20:00,2.7742,2.7664,2.7748,2.7664,9729.0
2025-05-17 05:25:00,2.7664,2.776,2.777,2.7664,7283.0
2025-05-17 05:30:00,2.776,2.7735,2.7815,2.7717,7225.0
2025-05-17 05:35:00,2.7735,2.7648,2.7752,2.7647,11044.0
2025-05-17 05:40:00,2.7648,2.7626,2.7703,2.7626,7906.0
2025-05-17 05:45:00,2.7631,2.7552,2.7631,2.752,13693.0
2025-05-17 05:50:00,2.7545,2.7558,2.7592,2.7522,6072.0
2025-05-17 05:55:00,2.7552,2.752,2.7574,2.7491,16061.0
2025-05-17 06:00:00,2.7524,2.7708,2.7747,2.7513,15632.0
