Time,Open,Close,High,Low,Volume
2025-05-08 01:11:00,97818.3,97742.8,97848.2,97700.0,19.76
2025-05-08 01:12:00,97742.8,97734.2,97796.4,97732.7,15.3
2025-05-08 01:13:00,97734.4,97818.8,97825.5,97725.1,24.39
2025-05-08 01:14:00,97818.8,97811.1,97864.2,97777.7,6.28
2025-05-08 01:15:00,97811.1,97632.4,97811.3,97555.0,25.15
2025-05-08 01:16:00,97632.1,97786.7,97814.8,97623.4,9.18
2025-05-08 01:17:00,97786.5,97737.0,97847.7,97737.0,5.07
2025-05-08 01:18:00,97733.2,97727.7,97801.3,97727.6,7.72
2025-05-08 01:19:00,97725.3,97768.4,97799.4,97725.3,5.75
2025-05-08 01:20:00,97768.4,98019.9,98024.9,97764.8,14.84
2025-05-08 01:21:00,98025.0,97995.6,98040.0,97955.6,24.45
2025-05-08 01:22:00,97995.7,97939.5,98000.6,97935.0,11.07
2025-05-08 01:23:00,97939.3,97975.7,97982.8,97939.3,4.26
2025-05-08 01:24:00,97975.7,97923.9,98038.8,97923.9,13.9
2025-05-08 01:25:00,97924.1,97920.6,97929.9,97891.0,7.51
2025-05-08 01:26:00,97920.6,98017.1,98040.0,97918.7,7.67
2025-05-08 01:27:00,98017.1,97959.3,98017.1,97943.2,13.71
2025-05-08 01:28:00,97959.3,97993.5,98000.0,97958.8,6.28
2025-05-08 01:29:00,97993.5,97933.7,98000.0,97924.1,3.22
2025-05-08 01:30:00,97930.6,97850.6,97980.1,97842.6,7.59
2025-05-08 01:31:00,97850.6,97966.4,97977.1,97850.4,5.22
2025-05-08 01:32:00,97966.4,97941.7,97980.4,97921.3,2.56
2025-05-08 01:33:00,97939.6,97870.6,98000.0,97865.8,3.31
2025-05-08 01:34:00,97870.4,97914.2,97923.6,97798.8,4.24
2025-05-08 01:35:00,97914.0,97965.8,97966.0,97905.0,3.52
2025-05-08 01:36:00,97965.8,97954.1,97969.0,97900.9,9.86
2025-05-08 01:37:00,97953.9,97949.0,97971.1,97936.8,4.75
2025-05-08 01:38:00,97947.4,97945.8,97967.6,97936.2,3.15
2025-05-08 01:39:00,97946.0,97920.9,97963.9,97919.9,2.93
2025-05-08 01:40:00,97920.0,97805.2,97929.0,97805.2,5.93
2025-05-08 01:41:00,97805.0,97831.1,97835.0,97793.1,4.97
2025-05-08 01:42:00,97830.9,97830.7,97848.8,97782.0,3.88
2025-05-08 01:43:00,97830.9,97762.3,97832.6,97757.6,8.2
2025-05-08 01:44:00,97762.3,97785.4,97787.3,97747.9,2.14
2025-05-08 01:45:00,97785.6,97878.4,97881.7,97785.4,1.83
2025-05-08 01:46:00,97878.2,97765.1,97906.7,97765.1,2.83
2025-05-08 01:47:00,97760.1,97752.7,97761.5,97681.7,6.08
2025-05-08 01:48:00,97752.7,97721.4,97764.7,97686.8,2.66
2025-05-08 01:49:00,97711.8,97753.4,97760.0,97676.5,3.19
2025-05-08 01:50:00,97753.4,97810.4,97810.5,97743.9,4.19
2025-05-08 01:51:00,97810.5,97765.4,97847.0,97765.4,4.46
2025-05-08 01:52:00,97765.0,97774.4,97835.5,97752.2,5.09
2025-05-08 01:53:00,97774.4,97687.7,97774.6,97678.4,7.93
2025-05-08 01:54:00,97691.9,97688.3,97750.1,97681.0,2.75
2025-05-08 01:55:00,97688.3,97681.2,97717.2,97671.6,3.55
2025-05-08 01:56:00,97681.2,97672.6,97722.2,97666.0,2.37
2025-05-08 01:57:00,97672.4,97722.2,97722.2,97651.0,3.92
2025-05-08 01:58:00,97722.2,97752.5,97752.5,97689.3,2.66
2025-05-08 01:59:00,97748.5,97770.6,97797.8,97736.4,8.69
2025-05-08 02:00:00,97770.8,97904.0,97951.0,97770.6,9.7
2025-05-08 02:01:00,97904.0,97908.3,97943.4,97903.0,3.77
2025-05-08 02:02:00,97908.1,97892.2,97931.6,97862.5,6.44
2025-05-08 02:03:00,97892.2,97856.7,97905.4,97840.0,3.0
2025-05-08 02:04:00,97856.5,97857.8,97874.3,97840.0,1.34
2025-05-08 02:05:00,97857.8,97962.3,97965.0,97857.8,5.22
2025-05-08 02:06:00,97962.3,97961.5,97980.0,97961.5,5.33
2025-05-08 02:07:00,97961.7,97884.1,97979.9,97881.4,3.07
2025-05-08 02:08:00,97889.9,97880.6,97929.5,97868.8,2.14
2025-05-08 02:09:00,97880.6,97886.2,97900.7,97871.1,6.81
2025-05-08 02:10:00,97884.0,97917.3,97917.3,97878.9,2.9
2025-05-08 02:11:00,97917.1,97957.5,97959.5,97917.1,12.08
2025-05-08 02:12:00,97957.5,97944.5,97986.0,97933.0,3.69
2025-05-08 02:13:00,97944.7,97978.3,97985.0,97930.0,3.1
2025-05-08 02:14:00,97978.3,98018.9,98019.0,97956.5,11.19
2025-05-08 02:15:00,98018.9,98063.8,98064.0,97980.0,24.56
2025-05-08 02:16:00,98064.0,98185.8,98200.0,98054.2,28.87
2025-05-08 02:17:00,98189.1,98118.2,98210.0,98110.8,18.44
2025-05-08 02:18:00,98118.4,98187.1,98188.7,98092.1,5.69
2025-05-08 02:19:00,98188.3,98138.0,98200.0,98137.7,4.79
