Time,Open,Close,High,Low,Volume
2025-05-17 08:33:00,2.7785,2.7755,2.7795,2.7702,3598.0
2025-05-17 08:36:00,2.7748,2.7712,2.7772,2.7694,3503.0
2025-05-17 08:39:00,2.7705,2.7672,2.7738,2.7668,4511.0
2025-05-17 08:42:00,2.7672,2.7628,2.7732,2.7616,10372.0
2025-05-17 08:45:00,2.7632,2.7612,2.7682,2.7585,3414.0
2025-05-17 08:48:00,2.7595,2.754,2.7602,2.7536,14208.0
2025-05-17 08:51:00,2.754,2.7599,2.7612,2.7535,8487.0
2025-05-17 08:54:00,2.7604,2.7555,2.7622,2.7555,4478.0
2025-05-17 08:57:00,2.7562,2.755,2.7562,2.7536,3722.0
2025-05-17 09:00:00,2.754,2.7571,2.7625,2.7536,3381.0
2025-05-17 09:03:00,2.7571,2.7515,2.7571,2.7486,4127.0
2025-05-17 09:06:00,2.7523,2.7476,2.7596,2.7366,10372.0
2025-05-17 09:09:00,2.7481,2.7448,2.7559,2.7434,3456.0
2025-05-17 09:12:00,2.7444,2.7481,2.7495,2.7427,3711.0
2025-05-17 09:15:00,2.7481,2.7418,2.7506,2.7365,5053.0
2025-05-17 09:18:00,2.7412,2.7458,2.7477,2.7405,3843.0
2025-05-17 09:21:00,2.7458,2.7382,2.7465,2.7354,4139.0
2025-05-17 09:24:00,2.7382,2.737,2.7398,2.7321,7618.0
2025-05-17 09:27:00,2.7374,2.739,2.741,2.7364,4280.0
2025-05-17 09:30:00,2.74,2.7473,2.7473,2.737,4684.0
2025-05-17 09:33:00,2.7473,2.7509,2.7537,2.7464,4512.0
2025-05-17 09:36:00,2.7509,2.7479,2.7569,2.7472,3391.0
2025-05-17 09:39:00,2.7479,2.7531,2.7536,2.7472,3975.0
2025-05-17 09:42:00,2.7531,2.7524,2.7611,2.7512,3649.0
2025-05-17 09:45:00,2.752,2.7529,2.7634,2.751,3591.0
2025-05-17 09:48:00,2.7534,2.7499,2.757,2.7486,3890.0
2025-05-17 09:51:00,2.7486,2.749,2.7499,2.7455,4280.0
2025-05-17 09:54:00,2.749,2.7534,2.7538,2.748,3548.0
2025-05-17 09:57:00,2.7534,2.7509,2.7567,2.7501,4705.0
2025-05-17 10:00:00,2.7509,2.7468,2.7509,2.7432,5315.0
2025-05-17 10:03:00,2.7468,2.7488,2.7538,2.7441,4640.0
2025-05-17 10:06:00,2.7496,2.7616,2.7627,2.7481,3919.0
2025-05-17 10:09:00,2.762,2.7654,2.7664,2.7571,4104.0
2025-05-17 10:12:00,2.7663,2.7589,2.7665,2.7582,3607.0
2025-05-17 10:15:00,2.7589,2.7622,2.7668,2.758,3907.0
2025-05-17 10:18:00,2.7628,2.7561,2.7666,2.7561,3459.0
2025-05-17 10:21:00,2.7561,2.767,2.7675,2.7561,5087.0
2025-05-17 10:24:00,2.7674,2.7648,2.768,2.7622,3592.0
2025-05-17 10:27:00,2.7642,2.7655,2.7708,2.7642,4641.0
2025-05-17 10:30:00,2.7645,2.7588,2.7661,2.7588,3932.0
2025-05-17 10:33:00,2.7595,2.7517,2.7619,2.7516,3509.0
2025-05-17 10:36:00,2.7516,2.7489,2.7537,2.7479,3659.0
2025-05-17 10:39:00,2.7489,2.7494,2.7496,2.7465,3450.0
2025-05-17 10:42:00,2.7494,2.7461,2.7506,2.7456,4012.0
2025-05-17 10:45:00,2.7461,2.7507,2.7507,2.7443,3925.0
2025-05-17 10:48:00,2.7497,2.7508,2.7529,2.7473,3763.0
2025-05-17 10:51:00,2.7515,2.7518,2.7559,2.7501,3534.0
2025-05-17 10:54:00,2.7512,2.7474,2.7518,2.7463,3441.0
2025-05-17 10:57:00,2.7474,2.7504,2.7505,2.7455,3824.0
2025-05-17 11:00:00,2.7499,2.7543,2.7547,2.7471,3627.0
2025-05-17 11:03:00,2.7547,2.7417,2.7547,2.7416,5618.0
2025-05-17 11:06:00,2.7416,2.742,2.7437,2.7391,6057.0
2025-05-17 11:09:00,2.742,2.739,2.7426,2.739,3656.0
2025-05-17 11:12:00,2.739,2.7374,2.7406,2.7363,3830.0
2025-05-17 11:15:00,2.7369,2.7398,2.7411,2.7352,6819.0
