Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_λ(C),Exit_λ(C),Entry_λ(C)_0,Exit_λ(C)_0,Entry_λ(C)_1,Exit_λ(C)_1,bar_index,entry_price,sma,macd,macd_signal,bb_upper,bb_upper_mayor,low_ult_20,stop,tp,size
58,646,671,2.7085,2.7424,2.6915,2.7424,1.9662000000000024,0.012516152852132256,2025-05-18 04:55:00,2025-05-18 05:20:00,0 days 00:25:00,,2.696418761546047,2.719021351428468,0.0024059344110409775,0.005114037236508384,0.002646380039238751,0.004684226752706296,646,2.7085,2.6916949999999997,0.0027667169580620765,0.0026998124010604784,2.710924483985835,2.7160839679716693,2.6949,2.6915,2.7424,58.0
43,679,832,2.7448,2.7913,2.7215,2.7913,1.9994999999999994,0.016941125036432414,2025-05-18 05:28:00,2025-05-18 08:01:00,0 days 02:33:00,,2.7243510825070674,2.7510695845224284,0.004962229186104228,0.0058555404521247745,0.005203789933974577,0.0038274678774370833,679,2.7448,2.708079,0.005248015511057691,0.005257470100167988,2.744455383370404,2.7514657667408082,2.7262,2.7215,2.7913,43.0
20,843,1064,2.7993,2.7509,,2.896,-0.968,-0.017290036794913033,2025-05-18 08:12:00,2025-05-18 11:53:00,0 days 03:41:00,,2.7686605183484834,2.7486457486430074,0.007046120658873445,-0.0032576025851343005,0.0072239848309184835,-0.00276688583567863,843,2.7993,2.7598309999999997,0.008030823581198554,0.007263510202484048,2.800648645756913,2.8126472915138256,2.7606,2.7509,2.896,20.0
31,1178,1222,2.7905,2.8545,2.7584,2.8545,1.983999999999988,0.022934957892850605,2025-05-18 13:47:00,2025-05-18 14:31:00,0 days 00:44:00,,2.7619642488058775,2.825306688413556,0.00611070919471679,0.006058189565595562,0.005498319241416066,0.0063941563134961524,1178,2.7905,2.7600960000000003,0.0059716320174652004,0.005362232585127016,2.7914172608429464,2.801674521685893,2.7649,2.7584,2.8545,31.0
28,1226,1301,2.8533,2.9233,2.8183,2.9233,1.9599999999999955,0.02453299688080457,2025-05-18 14:35:00,2025-05-18 15:50:00,0 days 01:15:00,,2.828944400895709,2.8745242719804596,0.007027066423877848,0.007087495582585923,0.0065642320249846425,0.0033384609670103174,1226,2.8533,2.796816,0.0067461559565606954,0.006461379936341709,2.8533431965013474,2.861666393002695,2.8253,2.8183,2.9233,28.0
49,1323,1333,2.9313,2.911,,2.9717,-0.9946999999999884,-0.006925255006311137,2025-05-18 16:12:00,2025-05-18 16:22:00,0 days 00:10:00,,2.915647905950525,2.9082663439857415,0.00286650582181025,-0.002589391747801262,0.003208004163280604,-0.00014684004737108277,1323,2.9313,2.8999919999999997,0.002602436453923662,0.003283892683607349,2.932637734058873,2.938285468117746,2.9151,2.911,2.9717,49.0
