Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,bar_index,entry_price,macd,macd_signal,sma,bb_upper,stop,tp,size,time,ventana,macd_crossed
56,144,165,2.6839,2.7191,2.6662,2.7191,1.9712000000000067,0.013115242743768407,2025-05-17 20:33:00,2025-05-17 20:54:00,0 days 00:21:00,,144,2.6839,0.0007174647901275755,-0.000367810124838557,2.6818579999999996,2.6847765452986354,2.6662,2.7191,56.0,2025-05-17 20:32:00,1,True
36,166,241,2.6992,2.6714,,2.7546,-1.0007999999999857,-0.010299347954949467,2025-05-17 20:55:00,2025-05-17 22:10:00,0 days 01:15:00,,166,2.6992,0.006459777813905276,0.002757264441496438,2.684406,2.700376131733649,2.6714,2.7546,36.0,2025-05-17 20:54:00,1,True
50,305,653,2.6801,2.7196,2.6603,2.7196,1.9749999999999934,0.014738256035222497,2025-05-17 23:14:00,2025-05-18 05:02:00,0 days 05:48:00,,305,2.6801,0.0024133837786073364,0.0011343613855032833,2.6831080000000003,2.681057650181917,2.6603,2.7196,50.0,2025-05-17 23:13:00,1,True
44,654,699,2.7158,2.7605,2.6934,2.7605,1.9667999999999886,0.01645923853008302,2025-05-18 05:03:00,2025-05-18 05:48:00,0 days 00:45:00,,654,2.7158,0.0033671395440237895,0.002609566595618926,2.6948160000000003,2.715935230984289,2.6934,2.7605,44.0,2025-05-18 05:02:00,1,True
33,710,774,2.7654,2.7356,,2.8249,-0.9834000000000089,-0.010776017935922533,2025-05-18 05:59:00,2025-05-18 07:03:00,0 days 01:04:00,,710,2.7654,0.005147321352768852,0.004600192163101809,2.72721,2.7663592116217477,2.7356,2.8249,33.0,2025-05-18 05:58:00,1,True
34,792,1191,2.7587,2.8174,2.7293,2.8174,1.9957999999999991,0.021278138253525203,2025-05-18 07:21:00,2025-05-18 14:00:00,0 days 06:39:00,,792,2.7587,0.004518796523385493,0.003020189788859843,2.753592,2.7585506299972846,2.7293,2.8174,34.0,2025-05-18 07:20:00,1,True
21,1204,1301,2.8274,2.9204,2.7809,2.9204,1.9529999999999994,0.032892409987974824,2025-05-18 14:13:00,2025-05-18 15:50:00,0 days 01:37:00,,1204,2.8274,0.008816143219761319,0.008008516838711257,2.776884,2.8287481044224405,2.7809,2.9204,21.0,2025-05-18 14:12:00,1,True
29,1302,1391,2.9123,2.8786,,2.9795,-0.9773000000000018,-0.011571610067644178,2025-05-18 15:51:00,2025-05-18 17:20:00,0 days 01:29:00,,1302,2.9123,0.007087495582585923,0.0033384609670103174,2.8817530000000007,2.911283445498099,2.8786,2.9795,29.0,2025-05-18 15:50:00,1,True
