Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,bar_index,macd,macd_signal,sma,bb_upper,time,ventana,macd_crossed
56,156,165,2.6843,2.7197,2.6665,2.7197,1.9824000000000055,0.013187795700927651,2025-05-17 20:45:00,2025-05-17 20:54:00,0 days 00:09:00,,156,0.0008,0.0006,2.6831,2.6881,2025-05-17 20:44:00,1,True
55,203,237,2.701,2.6828,,2.7372,-1.0010000000000119,-0.006738245094409567,2025-05-17 21:32:00,2025-05-17 22:06:00,0 days 00:34:00,,203,-0.0002,-0.0019,2.6916,2.7033,2025-05-17 21:31:00,5,True
43,312,656,2.6825,2.728,2.6597,2.728,1.9565000000000041,0.01696178937558246,2025-05-17 23:21:00,2025-05-18 05:05:00,0 days 05:44:00,,312,0.002,0.0018,2.6812,2.6847,2025-05-17 23:20:00,1,True
36,800,1078,2.7635,2.7359,,2.8185,-0.9936000000000025,-0.009987334901393141,2025-05-18 07:29:00,2025-05-18 12:07:00,0 days 04:38:00,,800,0.0035,0.0034,2.7542,2.7641,2025-05-18 07:28:00,1,True
28,1226,1301,2.8533,2.9233,2.8183,2.9233,1.9599999999999955,0.02453299688080457,2025-05-18 14:35:00,2025-05-18 15:50:00,0 days 01:15:00,,1226,0.0067,0.0064,2.7968,2.8535,2025-05-18 14:34:00,1,True
18,1313,1391,2.9332,2.8793,,3.0409,-0.9701999999999931,-0.018375835265239227,2025-05-18 16:02:00,2025-05-18 17:20:00,0 days 01:18:00,,1313,0.0074,0.0073,2.8922,2.9348,2025-05-18 16:01:00,1,True
