Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,bar_index,macd,macd_signal,sma,bb_upper,time,ventana,macd_crossed
56,144,165,2.6839,2.7191,2.6662,2.7191,1.9712000000000067,0.013115242743768407,2025-05-17 20:33:00,2025-05-17 20:54:00,0 days 00:21:00,,144,0.0007,-0.0004,2.6818,2.6847,2025-05-17 20:32:00,1,True
24,173,241,2.7137,2.6729,,2.7952,-0.9791999999999987,-0.015034823303976097,2025-05-17 21:02:00,2025-05-17 22:10:00,0 days 01:08:00,,173,0.0082,0.0073,2.6863,2.7195,2025-05-17 21:01:00,1,True
50,305,653,2.6801,2.7196,2.6603,2.7196,1.9749999999999934,0.014738256035222497,2025-05-17 23:14:00,2025-05-18 05:02:00,0 days 05:48:00,,305,0.0024,0.0011,2.6831,2.681,2025-05-17 23:13:00,1,True
34,663,831,2.7301,2.7881,2.7011,2.7881,1.9719999999999942,0.02124464305336793,2025-05-18 05:12:00,2025-05-18 08:00:00,0 days 02:48:00,,663,0.0056,0.0051,2.6999,2.7301,2025-05-18 05:11:00,1,True
20,843,1064,2.7993,2.7509,,2.896,-0.968,-0.017290036794913033,2025-05-18 08:12:00,2025-05-18 11:53:00,0 days 03:41:00,,843,0.008,0.0072,2.7598,2.8009,2025-05-18 08:11:00,1,True
40,1133,1190,2.7638,2.8127,2.7393,2.8127,1.9560000000000066,0.017693031333671172,2025-05-18 13:02:00,2025-05-18 13:59:00,0 days 00:57:00,,1133,0.0035,0.0029,2.7548,2.7653,2025-05-18 13:01:00,1,True
21,1204,1301,2.8274,2.9204,2.7809,2.9204,1.9529999999999994,0.032892409987974824,2025-05-18 14:13:00,2025-05-18 15:50:00,0 days 01:37:00,,1204,0.0088,0.008,2.7768,2.8287,2025-05-18 14:12:00,1,True
18,1307,1394,2.9279,2.8747,,3.0341,-0.9576000000000064,-0.018170019467878107,2025-05-18 15:56:00,2025-05-18 17:23:00,0 days 01:27:00,,1307,0.0091,0.007,2.8867,2.9264,2025-05-18 15:55:00,1,True
