Time,Open,Close,High,Low,Volume
2025-05-08 01:26:00,2.1417,2.1447,2.1454,2.1415,243177.0
2025-05-08 01:27:00,2.1447,2.1441,2.1447,2.1421,76295.0
2025-05-08 01:28:00,2.1442,2.1436,2.1442,2.1435,19550.0
2025-05-08 01:29:00,2.1435,2.1435,2.145,2.1429,54675.0
2025-05-08 01:30:00,2.1432,2.1409,2.1442,2.1409,48827.0
2025-05-08 01:31:00,2.1411,2.1418,2.1425,2.1409,8830.0
2025-05-08 01:32:00,2.1418,2.1423,2.143,2.1413,3508.0
2025-05-08 01:33:00,2.1423,2.1406,2.1439,2.1406,7942.0
2025-05-08 01:34:00,2.1408,2.1404,2.1413,2.138,22714.0
2025-05-08 01:35:00,2.1404,2.1426,2.1426,2.1398,7969.0
2025-05-08 01:36:00,2.1426,2.1425,2.1426,2.1408,9091.0
2025-05-08 01:37:00,2.1417,2.1419,2.1421,2.1412,3933.0
2025-05-08 01:38:00,2.1419,2.1416,2.143,2.1416,11206.0
2025-05-08 01:39:00,2.1418,2.1423,2.1424,2.1413,8499.0
2025-05-08 01:40:00,2.1421,2.1393,2.1423,2.1391,9602.0
2025-05-08 01:41:00,2.1393,2.1402,2.1402,2.1388,7725.0
2025-05-08 01:42:00,2.14,2.1401,2.1402,2.139,4997.0
2025-05-08 01:43:00,2.1399,2.138,2.1399,2.138,25173.0
2025-05-08 01:44:00,2.1381,2.1387,2.1387,2.138,6798.0
2025-05-08 01:45:00,2.1387,2.1419,2.142,2.1385,11424.0
2025-05-08 01:46:00,2.1419,2.1395,2.1426,2.1393,5512.0
2025-05-08 01:47:00,2.1395,2.1384,2.1395,2.137,8599.0
2025-05-08 01:48:00,2.1386,2.1375,2.1386,2.1374,22788.0
2025-05-08 01:49:00,2.1374,2.1383,2.1383,2.1368,4656.0
2025-05-08 01:50:00,2.1381,2.1395,2.1395,2.1381,2886.0
2025-05-08 01:51:00,2.1395,2.1372,2.1396,2.1372,4920.0
2025-05-08 01:52:00,2.1372,2.1373,2.1386,2.1368,25229.0
2025-05-08 01:53:00,2.1373,2.1362,2.139,2.1354,15573.0
2025-05-08 01:54:00,2.1362,2.1364,2.1369,2.1361,8003.0
2025-05-08 01:55:00,2.1364,2.1362,2.1368,2.1355,5779.0
2025-05-08 01:56:00,2.1361,2.1351,2.1368,2.1351,2762.0
2025-05-08 01:57:00,2.1353,2.1362,2.1362,2.1346,320038.0
2025-05-08 01:58:00,2.1362,2.1364,2.1372,2.1358,77060.0
2025-05-08 01:59:00,2.1366,2.137,2.1376,2.1364,20736.0
2025-05-08 02:00:00,2.1379,2.1421,2.1428,2.1379,9029.0
2025-05-08 02:01:00,2.1421,2.1437,2.1447,2.1419,10271.0
2025-05-08 02:02:00,2.1435,2.1441,2.1441,2.1415,19081.0
2025-05-08 02:03:00,2.144,2.1422,2.1443,2.1422,13618.0
2025-05-08 02:04:00,2.1424,2.1426,2.1428,2.142,5535.0
2025-05-08 02:05:00,2.1426,2.1439,2.1444,2.1425,3717.0
2025-05-08 02:06:00,2.1439,2.1431,2.1439,2.1429,5831.0
2025-05-08 02:07:00,2.1429,2.1421,2.1447,2.1421,1478.0
2025-05-08 02:08:00,2.1421,2.1421,2.1447,2.1419,6349.0
2025-05-08 02:09:00,2.1421,2.1438,2.144,2.1419,5972.0
2025-05-08 02:10:00,2.144,2.1451,2.1452,2.1438,7049.0
2025-05-08 02:11:00,2.1452,2.1455,2.1462,2.1451,11969.0
2025-05-08 02:12:00,2.1455,2.1443,2.1457,2.1443,3953.0
2025-05-08 02:13:00,2.1445,2.1449,2.1465,2.1443,2080.0
2025-05-08 02:14:00,2.1449,2.145,2.1452,2.1438,3835.0
2025-05-08 02:15:00,2.1452,2.146,2.1462,2.1437,73618.0
2025-05-08 02:16:00,2.1462,2.1507,2.1507,2.146,52202.0
2025-05-08 02:17:00,2.1506,2.1484,2.1512,2.1483,29706.0
2025-05-08 02:18:00,2.1484,2.1501,2.1503,2.148,10345.0
2025-05-08 02:19:00,2.1501,2.1492,2.151,2.1492,5305.0
2025-05-08 02:20:00,2.1492,2.1506,2.1506,2.1487,33877.0
2025-05-08 02:21:00,2.1506,2.1514,2.1514,2.1494,4870.0
2025-05-08 02:22:00,2.1514,2.1507,2.1514,2.1507,6555.0
2025-05-08 02:23:00,2.1507,2.1515,2.1517,2.1501,35132.0
2025-05-08 02:24:00,2.1515,2.1517,2.1518,2.1507,6928.0
2025-05-08 02:25:00,2.1517,2.1556,2.1558,2.1517,34619.0
2025-05-08 02:26:00,2.1556,2.1557,2.1568,2.1549,28882.0
2025-05-08 02:27:00,2.1557,2.1583,2.1588,2.1555,47282.0
2025-05-08 02:28:00,2.1583,2.1617,2.1631,2.1581,63937.0
